,floor,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,hasParkingSpace,IncludedInPrice,price_amount,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,district_Buenavista-Ería-Montecerrao,district_Carbayin-Lieres-Valdesoto,district_Celorio-Poó-Parres,district_Centro,district_Centro-Casco Histórico,district_Ciudad Naranco-Vallobín-La Florida,district_Corredoria-Huca-Teatinos,district_Cué-San Roque-Andrín,district_El Berrón-La Carrera,district_El Carbayedo - El Quirinal,district_El Llano,district_El Pozón - Villalegre - La Luz,district_Este,district_Figaredo - Turón,district_Fozaneldi-Tenderina-Ventanielles,district_Jardín de Cantos - El Nodo,district_La Felguera,district_La Fresneda,district_La Manjoya-Parroquias Sur,district_La Pola Siero,district_La Villa - Bazuelo,district_Llanes,district_Luanco - Aramar - Antromero,district_Lugones,district_Oeste,district_Parroquias Norte,district_Parroquias Norte-Naranco,district_Parroquias suroccidentales,district_Parroquias surorientales,district_Periurbano,district_Piedras Blancas,district_Pillarno,district_Posada-Barro,district_Pría-Nueva-Hontoria-Naves,district_Quintes - Arroes,district_Requejo - Rozaes - Oñón,district_San Claudio-Trubia-Las Caldas,district_San Lazaro-Otero-Villafría,district_San Pedro - Siana,district_Selorio - Tornón,district_Somió - Cabueñes,district_Sur,district_Tazones - Argüero,district_Vidiago-Pendueles-Tresgrandas,district_Viella-Granda-Meres
2543,-0.3348694572901184,-0.8053482725394293,1,-1.314657748160937,-0.7650583906877475,1.1712248235930007,0.11509678870139693,1,0,0,190000.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4142,1.4255309202409006,-0.5448483334073446,1,-0.2445179713496239,-0.7650583906877475,-0.2934489471785726,-0.0009225379957131358,1,1,1,105000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1835,-0.7749695516728732,0.24773658778176436,0,0.29055191705603256,0.4982760367394372,1.346452902651573,-0.6353542160881103,0,1,1,398000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1583,-0.3348694572901184,-0.17903990824314045,1,0.29055191705603256,-0.13339117697415515,-0.5676627442954049,-0.3727236635256222,1,0,0,375000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,-0.7749695516728732,1.2065980658636932,0,6.176320689518254,8.078282601302545,0.41303148194200706,1.7683583674882468,0,1,1,850000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1783,0.10523063709263637,-0.5725610928894812,1,-0.2445179713496239,-0.7650583906877475,-0.27749234342460477,0.002235931333121512,0,0,0,87000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
313,-0.7749695516728732,-0.6778695789216006,0,-0.7795878597552803,-0.7650583906877475,-1.4696221598504682,-0.5277657384706883,0,1,1,140000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
698,-0.7749695516728732,-0.3120611537573965,0,-0.2445179713496239,-0.13339117697415515,-1.9652876483081692,-0.20109560602204007,0,1,1,114995.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
374,-0.3348694572901184,-0.5670185409930539,1,-0.7795878597552803,0.4982760367394372,1.217607046309563,0.12276969232496443,0,0,0,375000.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2889,0.10523063709263637,-0.6224440599573273,1,-0.7795878597552803,-0.7650583906877475,-0.5948806888848197,-0.3907547009724473,1,0,0,340000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
